id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
38450542,52.51545,13.30404,Otto-Suhr-Allee,Entire home/apt,Entire rental unit,9,3.0,1.0,2,338.0,4.9,278,0.06593406593406592
38471927,52.50778,13.20223,Wilhelmstadt,Entire home/apt,Entire rental unit,2,1.0,1.0,2,140.0,4.82,11,1.0
38478859,52.45958,13.30914,Schloßstr.,Entire home/apt,Entire condo,2,1.0,1.0,4,120.0,4.89,46,0.0
38504089,52.53672,13.42449,Prenzlauer Berg Süd,Entire home/apt,Entire rental unit,6,3.0,2.0,6,135.0,4.98,62,1.0
38562451,52.4682,13.43642,Neuköllner Mitte/Zentrum,Entire home/apt,Entire rental unit,3,0.0,1.0,3,79.0,4.76,174,1.0
38585015,52.399715080351,13.577754023314,Bohnsdorf,Entire home/apt,Entire rental unit,4,1.0,1.0,1,659.5400000000009,4.75,4,0.29670329670329665
38590769,52.50426,13.4883,Neu Lichtenberg,Entire home/apt,Entire loft,2,0.0,1.0,2,127.0,4.87,63,0.0
38592727,52.4412898,13.5057411,Johannisthal,Entire home/apt,Entire rental unit,8,4.0,3.0,3,157.0,4.69,13,0.0
38616366,52.50232,13.30917,Kurfürstendamm,Entire home/apt,Entire rental unit,4,2.0,1.5,22,207.0,4.8,5,0.0
38644776,52.46021,13.28399,Zehlendorf  Nord,Private room,Private room in rental unit,3,2.0,1.0,3,51.0,4.89,27,1.0
38652894,52.54349,13.37011,Brunnenstr. Nord,Private room,Private room in rental unit,2,1.0,1.0,92,95.0,4.85,0,0.0
38656130,52.50193,13.41925,nördliche Luisenstadt,Entire home/apt,Entire rental unit,4,2.0,1.0,2,294.0,5.0,16,1.0
38686018,52.51046,13.28838,Schloß Charlottenburg,Private room,Private room in rental unit,2,1.0,2.0,1,44.0,4.54,157,1.0
38723424,52.50882,13.32122,Kantstraße,Entire home/apt,Entire rental unit,5,2.0,1.0,3,283.0,4.59,70,1.0
38729622,52.54158,13.41171,Prenzlauer Berg Nordwest,Private room,Private room in condo,2,1.0,1.0,2,58.0,4.81,136,1.0
38739863,52.53975,13.41437,Prenzlauer Berg Südwest,Entire home/apt,Entire condo,2,1.0,1.0,2,110.0,4.75,44,1.0
38745388,52.51058,13.47006,Frankfurter Allee Süd FK,Entire home/apt,Entire rental unit,13,4.0,4.0,3,371.0,4.82,17,0.06593406593406592
38766599,52.45886,13.37759,Tempelhof,Entire home/apt,Entire rental unit,2,0.0,1.0,29,125.0,4.75,8,1.0
38778901,52.511,13.28853,Schloß Charlottenburg,Entire home/apt,Entire rental unit,7,2.0,1.0,1,127.0,4.81,63,0.0
38799214,52.511,13.28853,Schloß Charlottenburg,Entire home/apt,Entire rental unit,9,4.0,2.0,1,239.0,4.82,72,0.0
38806759,52.53335,13.39707,Brunnenstr. Süd,Entire home/apt,Entire rental unit,2,1.0,1.0,2,121.0,4.75,52,1.0
38809843,52.41492,13.30684,Ostpreußendamm,Entire home/apt,Entire home,8,4.0,1.5,7,399.0,5.0,9,1.0
38831108,52.48543,13.32774,Volkspark Wilmersdorf,Entire home/apt,Entire rental unit,2,1.0,1.0,60,148.0,5.0,3,1.0
38833009,52.5141,13.47251,Frankfurter Allee Nord,Entire home/apt,Entire rental unit,14,4.0,2.0,2,213.0,4.62,173,0.03296703296703296
38872791,52.52620846855976,13.420926924612187,Karl-Marx-Allee-Nord,Entire home/apt,Entire rental unit,2,0.0,1.0,3,116.0,4.79,119,0.0
38892522,52.48939,13.42924,Reuterstraße,Entire home/apt,Entire loft,12,3.0,4.0,1,252.0,4.67,272,0.1208791208791209
38893047,52.47436,13.38063,Tempelhof,Private room,Private room in rental unit,2,1.0,1.0,4,103.0,4.87,23,0.0
38915328,52.54416,13.42325,Helmholtzplatz,Entire home/apt,Entire rental unit,2,0.0,1.0,92,81.0,4.83,6,0.0
38967379,52.493743896484375,13.39711856842041,Tempelhofer Vorstadt,Entire home/apt,Entire rental unit,2,1.0,1.0,1,133.0,4.85,434,0.0
38971259,52.54157,13.41169,Prenzlauer Berg Nordwest,Entire home/apt,Entire guesthouse,2,1.0,1.0,1,76.0,4.21,201,0.0
38976821,52.46809,13.38828,Tempelhof,Private room,Private room in rental unit,2,1.0,1.0,1,39.0,4.75,216,0.0
38990146,52.51261,13.28675,Schloß Charlottenburg,Entire home/apt,Entire condo,5,2.0,1.0,4,473.0,4.75,4,0.0
